,date,username,tweet
369,2023-05-30 10:25:10+00:00,alfisahdinardi,jakarta cnn indonesia ketua badan kembang inovasi strategis pbnu yenny wahid pesimistis prabowo subianto
370,2023-05-30 10:23:08+00:00,adirashannas,bgmnpun prabowo menteri jkw jokowi posisi untung yg final pra
372,2023-05-30 10:21:55+00:00,dulbedul911,senyum sang mantan rival jokowi pilpres panggung prabowo
374,2023-05-30 10:17:51+00:00,Cozillar_Reborn,rt capres calon salah calon pilpres gua golput kele
375,2023-05-30 10:17:40+00:00,artiasdeby3,rawan jokowi mania nusantara joman deklarasi prabowo mania pm dukung prabowo subianto maju
376,2023-05-30 10:17:37+00:00,artiasdeby3,prabowo menang kontestasi pilpres
380,2023-05-30 10:15:57+00:00,dulbedul911,wakil ketua dpr jokowi izin sila prabowo maju pilpres
381,2023-05-30 10:14:34+00:00,dulbedul911,pilpres jatah prabowo jokowi sambut ria tonton inews tower
382,2023-05-30 10:14:30+00:00,dulbedul911,jokowi semangat prabowo maju ajang pilpres
383,2023-05-30 10:14:27+00:00,dulbedul911,ketua dpp pdi juang pdip said abdullah dukung presiden joko widodo jokowi prabowo
386,2023-05-30 10:10:35+00:00,andystwn4,noel rawan prabowo mania gerak meta lumbung suara meta menang
387,2023-05-30 10:10:30+00:00,andystwn4,noel panggil akrab emmanuel ebnezer dasar mayoritas rawan joko
388,2023-05-30 10:10:29+00:00,andystwn4,ketua prabowo mania imanuel ebnezer menyakini presiden joko widodo jokowi bulat komitmen mendu
389,2023-05-30 10:09:58+00:00,Om_Sapto,ngga lahganjar udah deklarasi dicapreskansedangkan prabowo belu
394,2023-05-30 10:04:22+00:00,pikir_santuy,rakyat presiden cawe cawe pilpres rakyat
397,2023-05-30 10:03:13+00:00,pinterpolitik,hmm kaca kandidat cawapres pilpres pilpres gimana
398,2023-05-30 10:02:13+00:00,ARoss89777394,baca setting milu pilpres
399,2023-05-30 10:02:09+00:00,Harumiii_kn,bismillahirrahmanirrahim mochamad iriawan dukung prabowo subianto maju sebag
400,2023-05-30 10:00:44+00:00,Harumiii_kn,harap fungsionaris rawan repro indonesia telinga awas
401,2023-05-30 10:00:42+00:00,Harumiii_kn,repro komitmen dukung prabowo subianto pilpres negara kuat prab
402,2023-05-30 10:00:38+00:00,Harumiii_kn,rawan prabowo repro resmi fungsionaris isi struktural dewan pimpin nasional dpn
404,2023-05-30 10:00:18+00:00,akuteguh5,rawan jokowi mania joman bogor resmi deklarasi prabowo mania ketua umum prabowo mania immanuel
405,2023-05-30 09:59:11+00:00,akuteguh5,pilpres kelompok dukung jokowi pilpres dukung calon prabowo sub
407,2023-05-30 09:57:30+00:00,lehon_mangolu,optimis unggul survei prabowo subianto menang pilpres
408,2023-05-30 09:57:28+00:00,lehon_mangolu,klaim gang ubah prabowo maju pilih presiden pilpres
409,2023-05-30 09:57:25+00:00,EkoPras37340365,seru gerindra pdip utk pilpres formasi aja biar seru
410,2023-05-30 09:56:25+00:00,lehon_mangolu,singgung target suara kharisma prabowo raih suara persen jatim pilpres
411,2023-05-30 09:55:45+00:00,IwanKurus8,presiden terangterangan bilang cawecawe pilpres ngeri yekan yekan yekan yekan
412,2023-05-30 09:55:20+00:00,asetiaji,pantes nganu takut bener anies menang pilpres lubang nganga
413,2023-05-30 09:54:43+00:00,amadramadan91,balas pilpres coblos ganjar pranowo
414,2023-05-30 09:53:56+00:00,EkoPutr86520727,jgn ganjar jd wapresnya prabowo nggak papa soale kans menang pr
415,2023-05-30 09:51:51+00:00,mingskyyy_,rawan juang tangguh sepakat komitmen setia dukung prabowo subianto men
416,2023-05-30 09:51:45+00:00,mingskyyy_,juang menang prabowo subianto presiden ri pilpres
417,2023-05-30 09:51:12+00:00,soffyajkt,prabowo milik rendah hati kalah jokowi pilpres
418,2023-05-30 09:51:07+00:00,soffyajkt,mantan staf presiden jokowi lenis kogoya dukung ketua umum partai gerindra prabowo
419,2023-05-30 09:50:59+00:00,soffyajkt,juru bicara jubir prabowo subianto dahnil anzar simanjuntak respons dukung mantan staf khus
421,2023-05-30 09:49:13+00:00,soffyajkt,jokowi menang pilpres prabowo subianto
422,2023-05-30 09:49:06+00:00,soffyajkt,prabowo coba untung tel pil pahit kalah berturutturut pilpres
423,2023-05-30 09:49:05+00:00,soffyajkt,teliti pusat riset politik brin wasisto raharjo djati nilai presiden jokowi bent
424,2023-05-30 09:49:00+00:00,Rudigesper,hasil survei lsn pilpres calon ganjar anies sulit prediksi pen
425,2023-05-30 09:48:32+00:00,Rudigesper,responden bunyi pilpres anies baswe
426,2023-05-30 09:48:32+00:00,Rudigesper,hasil survei lsn prabowo subianto menang pilpres calon prab
427,2023-05-30 09:48:29+00:00,Rudigesper,responden bunyi pilpres calon pres
428,2023-05-30 09:48:28+00:00,Rudigesper,dasar simulasi lsn pilpres tokoh prabowo subianto ak
429,2023-05-30 09:48:24+00:00,Rudigesper,hasil survei lsn pilpres laksana prabowo subianto menang
430,2023-05-30 09:48:20+00:00,Rudigesper,jakarta lembaga survei nasional lsn survei elektabilitas capres pilpres hasiln
434,2023-05-30 09:47:42+00:00,MessyHairByF,zulhas apresiasi hadir prabowo acara seraya jalan politik prabowo
435,2023-05-30 09:47:38+00:00,therra_,atur etika sbg kepala negara paham donk ahhadab politik presiden
437,2023-05-30 09:43:45+00:00,Rudigesper,kursi parlemen pasang calon presiden wakil presiden pilpres haru
441,2023-05-30 09:43:29+00:00,Rudigesper,anies dukunga partai ganjar resmi capres pdip
442,2023-05-30 09:43:18+00:00,Rudigesper,direktur lsi djayadi hanan rilis hasil survei nasional lsi peta elektoral pilpres antisipasi put
443,2023-05-30 09:43:15+00:00,Rudigesper,hasil survei lembaga survei indonesia lsi menteri tahan prabowo subianto unggul
444,2023-05-30 09:42:34+00:00,fachriman13,pascapilpres nalar lawan ubah drastis kawan prabowo subianto memutuska
445,2023-05-30 09:42:34+00:00,fachriman13,pilpres prabowo subianto rival jokowi kontestasi
446,2023-05-30 09:42:28+00:00,fachriman13,partai gerindra king maker presiden jokowi anggap nyaman dukung prabowo subianto
447,2023-05-30 09:42:26+00:00,dikkambong_,bicara pilpres prabowo disebutsebut jokowi dasco
448,2023-05-30 09:42:25+00:00,dikkambong_,maju calon presiden capres pilih presiden pilpres prabowo subianto
449,2023-05-30 09:40:56+00:00,gadotaja,salah faktor timbang masyarakat pilih pil
450,2023-05-30 09:40:54+00:00,gadotaja,lsj analisis cross tabulation tabel prabowo subianto
451,2023-05-30 09:40:54+00:00,gadotaja,direktur riset lsj fetra ardianto coba baca pola pilih responden pilpres
452,2023-05-30 09:40:53+00:00,gadotaja,jakarta mayoritas dukung presiden joko widodo jokowi pilpres dukung menteri tahan pr
